餐廳名稱(必填),地址,電話,營業時間,全/部分,分類,餐點名稱(必填),食用後是否有不適？(必填),不適症狀為何？(選填),其他想說的話(選填)
天鍋宴火鍋(大直店),台北市中山區樂群三路53號1樓,02-85011137,11:00-23:30,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
天鍋宴火鍋(西湖店),台北市內湖區環山路一段12號,02-26581233,11:00-23:30,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
Dela kaffee,台北市松山區南京東路五段250巷2弄39號,02-27480069,"星期一二1400-1800, 星期三~日1000-1800",部份,"咖啡廳,素食",,,,
金色漫步無麩質烘焙嚴選咖啡,彰化縣彰化市仁愛路122號,04-7284168,星期二~六12:30–19:30,全,咖啡廳,,,,
犬首燒(台北松山店),臺北市松山區南京東路五段23巷6弄1之1號,09-72818867,"11:30-20:00,星期天店休",全,點心,,,,
犬首燒(台中店),台中市北平路三段20號,09-08884567,"13:00-23:00,星期天店休",全,點心,,,,
犬首燒(台南店),台南市中西區民族路二段407號,09-55820621,"11:30-18:30,星期一電休",全,點心,,,,
恬沁咖啡,新北市林口區仁愛路一段272巷18號,09-89307736,"10:00-1800,星期四店休",部份,咖啡廳,,,,
莫夏印度餐廳 Moksha Indian Restaurant ,台北市士林區中山北路六段138號,02-28347050,星期一17:30-21:30; 星期二~日11:30-14:30; 17:30-21:30,部份,印度料理,"可以直接問餐廳經理,那一道是gluten free的",,,
樂米鬆餅,桃園市龜山區光明街290巷20號18號,09-33851000,星期三-五 13:30-17:00,全,甜點,,,,
